gene_id,Sample_Id,mRNA_expression
3939,93,-0.5583
585,93,1.2692
4004,93,-2.0843
2151,93,0.6122
418,93,-1.0879
601,93,0.5754
27,93,0.5088
8768,93,-0.7144
48,93,1.3022
1945,93,-1.0146
2628,93,-0.8462
1822,93,3.4653
640,93,-1.1849
3057,93,-2.4118
4229,93,0.872
8222,93,-0.68
8167,93,-0.5869
513,93,-1.349
679,93,-1.2583
7524,93,-0.6038
1622,93,-0.5596
14387,93,1.1762
3018,93,-0.5843
284,93,1.2488
1762,93,-1.0453
1044,93,-0.8946
4219,93,-0.8325
5453,93,1.5459
2876,93,-0.6085
1148,93,1.3518
3161,93,1.7723
9990,93,1.1628
328,93,0.7688
3121,93,0.6568
2249,93,-1.4923
2133,93,-0.7751
4908,93,-1.2925
737,93,2.9671
2124,93,-1.004
3783,93,-1.2226
1531,93,-0.9786
6742,93,2.2047
2717,93,2.8654
1326,93,-0.7551
2086,93,1.8856
2197,93,1.5928
4159,93,3.3921
1323,93,-0.6835
599,93,2.3185
10399,93,1.8799
2791,93,-1.5479
5276,93,-1.3783
2314,93,0.9329
1131,93,0.7335
5241,93,0.7153
2433,93,0.9528
2460,93,1.7877
562,93,1.1165
1797,93,-1.2251
3494,93,4.3519
6634,93,0.9764
1744,93,1.4185
5966,93,-1.6604
6678,93,0.5476
1423,93,-0.543
1006,93,1.7519
8049,93,1.0359
807,93,-0.9791
625,93,-0.605
2309,93,1.1973
5266,93,-0.9611
3133,93,1.2273
366,93,0.6559
8693,93,0.6816
5165,93,1.2945
4941,93,-1.3076
5545,93,-1.3483
1997,93,-1.9367
4208,93,1.6357
9258,93,0.6399
496,93,-0.8178
1508,93,1.5273
6329,93,5.3276
4861,93,-0.671
400,93,-1.8835
1098,93,0.8823
8709,93,1.0949
390,93,-0.6306
819,93,1.8989
632,93,-1.643
321,93,0.6703
4067,93,-0.5813
2461,93,-0.6063
3440,93,-0.5918
8535,93,0.7778
207,93,1.2097
330,93,-0.5232
93,93,1.3909
